segment_pair	ordinal	MAGIC	WIZARDS	size_ratio	normalized_similarity	normalized_line_edit_distance	normalized_line_edit_similarity	mnemonic_similarity	mnemonic_line_edit_distance	mnemonic_line_edit_similarity	magic_instruction_count	wizards_instruction_count
seg005->seg005	2	Exit_With_Message	Exit_With_Message	0.785714	0.899787	4	0.714286	0.896000	3	0.785714	14	11
seg005->seg005	3	UU_Exit_With_Value	Exit_With_Value	0.840000	0.931850	6	0.760000	0.923767	4	0.840000	25	21
seg031->seg033	7	UU_LBX_IMG_RawOverlay	Mask_Bitmap_Pixels	0.857143	0.106880	34	0.346154	0.670588	11	0.775510	42	49
seg031->seg033	11	UU_LBX_IMG_PartialCopy	Mask_Bitmap_Pixels_Inverse	0.875000	0.244165	33	0.352941	0.295858	12	0.750000	42	48
seg014->seg014	4	Set_Window	Set_Window	0.893617	0.599016	33	0.377358	0.901333	5	0.893617	42	47
seg028->seg030	9	UU_LBX_IMG_ClearGraphic	Replace_Color_All	0.916667	0.361915	39	0.380952	0.696063	10	0.833333	55	60
seg005->seg005	5	Update_MemFreeWorst_KB	Check_Free	0.916667	0.752294	9	0.307692	0.949495	1	0.916667	11	12
seg028->seg030	42	UU_LBX_IMG_OutlineOvr	Outline_Bitmap_Pixels	0.925620	0.408744	100	0.253731	0.030303	14	0.884298	112	121
seg028->seg030	28	UU_LBX_IMG_StripColors	Transparent_Color_Range	0.936508	0.017055	25	0.615385	0.688474	10	0.841270	59	63
seg014->seg014	7	UU_VGA_WndPutPixel	Clipped_Dot	0.939394	0.792703	18	0.538462	0.912281	4	0.878788	31	33
seg028->seg030	43	UU_LBX_IMG_OutlineOvr_R	Outline_Bitmap_Pixels_No_Glass	0.943089	0.382314	114	0.155556	0.344704	11	0.910569	116	123
seg005->seg005	6	RP_VGA_B800Dump	UU_VGA_B800Dump	0.943925	0.466191	29	0.743363	0.924152	9	0.915888	107	101
seg008->seg008	14	Allocate_Next_Block	Allocate_Next_Block	0.944444	0.202145	46	0.581818	0.533333	9	0.916667	108	102
seg031->seg033	13	UU_LBX_IMG_Shrink	Reduce_Bitmap	0.945946	0.568786	43	0.434211	0.841339	7	0.905405	70	74
seg022->seg022	7	Randomize	Randomize	0.950000	0.186992	7	0.650000	0.829016	2	0.900000	19	20
seg020->seg020	5	Set_Palette_Changes	Set_Palette_Changes	0.950000	0.287540	13	0.409091	0.864078	3	0.850000	19	20
seg020->seg020	6	Clear_Palette_Changes	Clear_Palette_Changes	0.950000	0.466454	13	0.409091	0.960784	1	0.950000	19	20
seg034->seg036	76	Assign_Auto_Function	Assign_Auto_Function	0.950000	0.632044	8	0.636364	0.947368	1	0.950000	19	20
seg028->seg030	1	UU_LBX_Image_Copy	Copy_Bitmap_To_Bitmap	0.951220	0.419890	32	0.346939	0.805755	5	0.878049	39	41
seg008->seg008	7	Allocate_Space	Allocate_Space	0.956522	0.279359	31	0.563380	0.961857	4	0.942029	69	66
seg018->seg018	7	Get_String_Width	Get_String_Width	0.958333	0.340255	18	0.647059	0.919315	2	0.958333	46	48
seg011->seg011	2	gfread	gfread	0.958333	0.684899	3	0.888889	0.927273	1	0.958333	23	24
seg013->seg013	16	EMM_ReleaseAll__STUB	EMM_Release_All	0.958333	0.741026	11	0.592593	0.979798	1	0.958333	23	24
seg017->seg017	10	UU_VGA_BotchedFColor	Set_Font_Highlight_Colors	0.958333	0.751445	14	0.500000	0.940639	2	0.916667	23	24
seg021->seg021	2	Cycle_Palette	Cycle_Palette	0.959016	0.458726	37	0.737589	0.012060	8	0.934426	122	117
seg034->seg036	46	UU_GUI_CreateMStateBtn	UU_GUI_CreateMStateBtn	0.959184	0.101874	21	0.580000	0.760915	8	0.836735	49	47
seg014->seg014	11	UU_VGA_DrawBiColorRect	UU_Interlaced_Fill	0.960000	0.128514	28	0.440000	0.891213	6	0.880000	48	50
seg024->seg024	7	UU_VGA_SaveDrawSection	Screen_Picture_Capture	0.960000	0.162044	33	0.365385	0.004505	7	0.860000	48	50
seg006->seg006	2	Quit_With_Message	Quit_With_Message	0.960000	0.586118	17	0.346154	0.907407	3	0.880000	25	24
seg017->seg017	15	Print_Far	Print_Far	0.960000	0.821270	9	0.640000	0.880658	5	0.800000	25	24
seg008->seg008	12	Allocate_First_Block	Allocate_First_Block	0.960396	0.769386	42	0.596154	0.587353	7	0.930693	101	97
seg027->seg029	2	FLIC_Remap_Draw_Frame	Remap_Draw_Frame_ASM	0.960630	0.236211	127	0.551237	0.019364	19	0.925197	254	244
seg017->seg017	12	VGA_SetAAColor	Set_Alias_Color	0.962264	0.820702	21	0.618182	0.019960	4	0.924528	51	53
seg014->seg014	6	VGA_WndDrawFilldRect	Clipped_Fill	0.963636	0.799469	41	0.378788	0.864407	6	0.890909	53	55
seg008->seg008	4	Near_Allocate_First	Near_Allocate_First	0.964286	0.457023	15	0.482759	0.962656	3	0.892857	28	27
seg034->seg036	66	Get_Input	Get_Input	0.965517	0.695214	10	0.736842	0.983193	1	0.965517	29	28
seg008->seg008	13	UU_SA_Alloc_Reset	Reset_First_Block	0.966667	0.077419	14	0.533333	0.875000	4	0.866667	29	30
seg008->seg008	15	Get_Free_Blocks	Get_Free_Blocks	0.966667	0.501931	13	0.566667	0.884211	3	0.900000	30	29
seg020->seg020	13	UU_Update_Cycle	Update_Cycle	0.967213	0.343978	35	0.485294	0.958333	4	0.934426	59	61
seg018->seg018	5	Print_Character_ASM_	Print_Character_ASM_	0.967742	0.662021	25	0.652778	0.937984	2	0.967742	60	62
seg028->seg030	10	UU_LBX_IMG_LoadPalette	Load_Palette_From_Animation	0.967742	0.761702	11	0.656250	0.869841	3	0.903226	30	31
seg012->seg012	9	EMM_MapnWrite	EMM_MapnWrite	0.968254	0.077154	22	0.661538	0.830450	5	0.920635	63	61
seg017->seg017	30	UU_VGA_WndDrawRtAligned	Clipped_Print_Right	0.968750	0.222904	19	0.424242	0.868750	6	0.812500	31	32
SOUND->SOUND	4	UU_SND_SetMIDIVol	Set_Music_Volume__STUB	0.968750	0.371048	20	0.444444	0.887372	3	0.906250	31	32
seg020->seg020	3	VGA_SetShades_Grey0	Calculate_Remap_Colors	0.968750	0.453633	23	0.671429	0.948097	2	0.968750	62	64
seg017->seg017	23	Print_Right	Print_Right	0.968750	0.528017	12	0.647059	0.950820	3	0.906250	31	32
seg017->seg017	63	UU_LBX_DrawRightAligned	Print_Right_To_Bitmap	0.969697	0.162791	19	0.424242	0.861357	7	0.787879	32	33
seg034->seg036	7	UU_GUI_SaveClickFile	UU_GUI_SaveClickFile	0.969697	0.219713	11	0.676471	0.944984	2	0.939394	32	33
seg018->seg018	6	VGA_DrawGlyph_NoAA	Print_Character_No_Alias_ASM_	0.969697	0.353425	37	0.525641	0.941606	2	0.969697	64	66
seg028->seg030	24	Draw_Picture	Draw_Picture	0.970588	0.856796	8	0.764706	0.958991	1	0.970588	33	34
seg031->seg033	5	Draw_Picture_ASM	Draw_Picture_ASM	0.970874	0.195774	54	0.509091	0.064309	8	0.922330	100	103
seg017->seg017	31	UU_VGA_WndDrawCentered	Clipped_Print_Centered	0.971429	0.256167	20	0.459459	0.875362	6	0.828571	34	35
seg017->seg017	24	Print_Centered	Print_Centered	0.971429	0.268390	17	0.514286	0.875362	6	0.828571	34	35
seg017->seg017	11	Set_Font_Colors_15	Set_Font_Colors_15	0.971429	0.580766	17	0.585366	0.922156	3	0.914286	34	35
seg017->seg017	64	UU_LBX_DrawCentered	Print_Centered_To_Bitmap	0.972222	0.153285	19	0.472222	0.868132	7	0.805556	35	36
seg028->seg030	40	LBX_IMG_IsFullFramed	Get_Full_Store_Flag	0.972973	0.165309	27	0.644737	0.891667	4	0.945946	72	74
seg018->seg018	4	LBX_DrawGlyph	Print_Character_To_Bitmap	0.974359	0.309584	30	0.638554	0.009063	6	0.923077	76	78
seg020->seg020	4	UU_VGA_SetShades_Range	Update_Remap_Color_Range	0.974684	0.639450	23	0.732558	0.959016	2	0.974684	77	79
seg017->seg017	43	UU_DBG_TblDrawValue	PSTRM	0.975309	0.026273	47	0.447059	0.846753	10	0.876543	79	81
seg031->seg033	14	UU_LBX_IMG_Stretch	Enlarge_Bitmap	0.975610	0.639514	38	0.577778	0.902873	5	0.939024	80	82
seg034->seg036	14	Check_Help_List	Check_Help_List	0.975904	0.546752	43	0.527473	0.915014	5	0.939759	81	83
seg014->seg014	15	Gradient_Fill	Gradient_Fill	0.976190	0.077102	94	0.069307	0.859241	8	0.904762	82	84
seg017->seg017	42	FNT_FontColorSelect	Set_Color_Set	0.976744	0.340398	21	0.533333	0.553097	4	0.906977	42	43
seg034->seg036	56	Decrement_Scroll_Bar	Decrement_Scroll_Bar	0.977941	0.131739	61	0.561151	0.911884	8	0.941176	133	136
seg031->seg033	6	VGA_CopyLBXImage_R	Remap_Draw_Picture_ASM	0.978022	0.311432	38	0.616162	0.957895	2	0.978022	89	91
seg017->seg017	59	Trim	Trim	0.978261	0.774332	28	0.471698	0.887850	4	0.913043	45	46
seg014->seg014	2	UU_Legacy_Startup	UU_Legacy_Startup	0.978261	0.876011	13	0.740000	0.942857	3	0.934783	45	46
seg020->seg020	14	UU_Set_Palette_Gradient	NX_VGA_CreateHues	0.978723	0.526559	31	0.720721	0.947368	3	0.968085	92	94
seg034->seg036	51	Add_Grid_Field	Add_Grid_Field	0.978873	0.269426	57	0.601399	0.858934	12	0.915493	139	142
seg027->seg029	5	FLIC_Draw_Frame_EMM_Remap	EMM_Remap_Draw_Frame_ASM	0.979079	0.544545	95	0.677966	0.015113	7	0.970711	239	234
seg028->seg030	34	UU_LBX_IMG_Resize	Scale_Bitmap	0.979167	0.463629	50	0.528302	0.050383	7	0.927083	94	96
seg017->seg017	13	VGA_SaveAAColors	Save_Alias_Colors	0.979592	0.406905	9	0.826923	0.954128	1	0.979592	48	49
seg019->seg019	5	VGA_GetTextHeight	Get_Paragraph_Max_Height	0.979592	0.539192	23	0.557692	0.008163	4	0.918367	48	49
seg028->seg030	46	LBX_IMG_GetGFXSize	Get_Bitmap_Actual_Size	0.980392	0.107426	93	0.305970	0.007897	12	0.882353	100	102
seg028->seg030	14	FLIC_Set_CurrentFrame	Set_Animation_Frame	0.981132	0.671591	16	0.703704	0.405904	3	0.943396	52	53
seg021->seg021	1	Apply_Palette	Apply_Palette	0.981132	0.682609	16	0.728814	0.959459	1	0.981132	52	53
seg017->seg017	14	VGA_RestoreAAColors	Restore_Alias_Colors	0.981481	0.385768	8	0.857143	0.983122	1	0.981481	53	54
seg031->seg033	15	Vanish_Bitmap	Vanish_Bitmap__WIP	0.981481	0.765187	13	0.771930	0.976939	1	0.981481	53	54
seg028->seg030	26	UU_LBX_IMG_CopyInto	Clipped_Copy_Bitmap	0.981818	0.047197	98	0.458564	0.010309	18	0.890909	162	165
seg017->seg017	51	UU_VGA_WndDrawString	Clipped_Print_String	0.981982	0.446388	62	0.537313	0.143137	11	0.900901	109	111
seg013->seg013	11	EMM_LBX_Load_Entry	EMM_LBX_EntryLoader	0.982456	0.139322	258	0.227545	0.856934	18	0.936842	285	280
seg011->seg011	1	gfopen	gfopen	0.983051	0.352699	91	-0.229730	0.947368	3	0.949153	58	59
seg003->seg003	5	LOF	LOF	0.983333	0.737828	6	0.903226	0.989583	1	0.983333	60	59
seg028->seg030	44	UU_LBX_IMG_ColorScrmblr	Bitmap_Aura_Pixels	0.983607	0.250000	28	0.562500	0.835821	7	0.885246	60	61
seg024->seg024	4	VGA_ReadScreenLine	VGA_ReadScreenLine	0.983607	0.261620	18	0.709677	0.072664	2	0.967213	60	61
seg017->seg017	52	UU_VGA_WndDrawChar	Clipped_Print_Character	0.983740	0.339794	99	0.282609	0.843066	16	0.869919	121	123
seg034->seg036	53	Add_Scroll_Field_Far	Add_Scroll_Field_Far	0.983784	0.716445	44	0.767196	0.890931	12	0.935135	182	185
seg034->seg036	38	UU_UI_AddAltKeyControl	Add_Multi_Hot_Key_Field	0.983871	0.651540	43	0.664062	0.976303	4	0.967742	122	124
seg028->seg030	2	Create_Picture	Create_Picture	0.983871	0.819318	9	0.857143	0.982877	1	0.983871	61	62
seg028->seg030	12	FLIC_Draw_XY_Wnd	Clipped_Draw	0.983957	0.438164	130	0.383886	0.827939	17	0.909091	184	187
seg012->seg012	8	EMM_MapnRead	EMM_MapnRead	0.984127	0.083585	13	0.796875	0.891525	3	0.952381	63	62
seg028->seg030	6	UU_LBX_IMG_PrepFill	Create_Blank_Picture	0.984127	0.543562	19	0.703125	0.809836	3	0.952381	62	63
seg016->seg016	3	Line	Line	0.984375	0.523490	57	0.614865	0.920810	6	0.953125	126	128
seg013->seg013	14	EMM_LBXR_DirectLoad	EMM_LBXR_DirectLoad	0.984694	0.081633	153	0.267943	0.798811	16	0.918367	196	193
seg028->seg030	25	Draw_Picture_Windowed	Draw_Picture_Windowed	0.984733	0.371878	99	0.326531	0.032415	21	0.839695	129	131
seg019->seg019	6	VGA_GetTextWidth	Get_Paragraph_Max_Width	0.984962	0.056443	80	0.487179	0.006661	14	0.894737	131	133
seg034->seg036	55	Increment_Scroll_Bar	Increment_Scroll_Bar	0.985185	0.242659	50	0.637681	0.928513	6	0.955556	133	135
seg034->seg036	35	UU_GUI_CreateEditSelect	Add_Continuous_String_Input_Field	0.985612	0.576257	52	0.625899	0.880452	10	0.928058	137	139
seg034->seg036	29	G_GUI_PressAnyKey	Wait_For_Input	0.985816	0.407314	30	0.811321	0.960317	3	0.978723	139	141
seg028->seg030	37	VGA_FILEH_Loader	Load_File_Animation_Frame	0.986486	0.132539	77	0.544379	0.032922	10	0.932432	146	148
seg017->seg017	49	UU_DBG_DrawTableCell	Disp_PSTR	0.987013	0.090785	60	0.610390	0.863388	12	0.922078	152	154
seg024->seg024	8	UU_VGA_CopyToLBX	Capture_Screen_Block	0.987500	0.136364	45	0.563107	0.023936	9	0.887500	79	80
seg028->seg030	13	Draw_Picture_To_Bitmap	Draw_Picture_To_Bitmap	0.987578	0.115314	75	0.573864	0.820988	10	0.937888	159	161
seg028->seg030	36	Draw_File_Animation__HACK	Draw_File_Animation	0.987654	0.351959	147	0.135294	0.930079	6	0.962963	160	162
seg017->seg017	62	Print_String_To_Bitmap	Print_String_To_Bitmap	0.987805	0.476746	103	0.469072	0.810209	15	0.908537	162	164
seg028->seg030	27	UU_LBX_IMG_Overlay	Clipped_Copy_Mask	0.987879	0.034240	123	0.320442	0.006353	18	0.890909	163	165
seg019->seg019	1	Print_Paragraph	Print_Paragraph	0.988024	0.063872	153	0.257282	0.100279	7	0.958084	165	167
seg018->seg018	9	VGA_DrawPartialGlyph	Print_Clipped_Letter	0.988095	0.262172	48	0.589744	0.969784	1	0.988095	83	84
seg019->seg019	13	UU_LBX_DrawText	Print_Paragraph_To_Bitmap	0.988304	0.094643	82	0.551913	0.940148	8	0.953216	169	171
seg017->seg017	37	VGA_DrawString	Print_String	0.988439	0.328315	199	0.033981	0.023795	14	0.919075	171	173
SOUND->SOUND	1	load_global_timbre	load_global_timbre	0.988506	0.497702	39	0.625000	0.989610	1	0.988506	86	87
seg022->seg022	31	UU_VGA_GrowOutFlip	Draw_Expanding_Bitmap	0.988636	0.410853	79	0.572973	0.938776	10	0.943182	174	176
seg021->seg021	7	FLIC_Load_Palette	FLIC_Load_Palette	0.989247	0.213580	42	0.693431	0.995146	1	0.989247	92	93
seg034->seg036	33	GUI_EditBoxRedraw	Draw_Input_Box_Popup	0.989717	0.645684	171	0.579853	0.939185	10	0.974293	385	389
seg020->seg020	12	UU_Cycle_Palette_Color	Cycle_Palette_Color__STUB	0.989796	0.326236	192	0.115207	0.838378	15	0.923469	194	196
seg034->seg036	47	Add_Hidden_Field	Add_Hidden_Field	0.989899	0.680588	26	0.740000	0.954654	3	0.969697	98	99
seg013->seg013	12	EMM_LBX_Load_FLIC_Header	EMM_LBX_Load_Picture_Header	0.990783	0.215114	166	0.343874	0.882487	10	0.953917	217	215
seg034->seg036	24	GUI_MouseEmuMove	UU_GUI_MouseEMUMoveTo	0.991071	0.584465	36	0.684211	0.980711	2	0.982143	111	112
seg028->seg030	3	UU_LBX_IMG_VShiftRect	LBX_IMG_VShiftRect	0.991189	0.426862	130	0.490196	0.111937	10	0.955947	225	227
seg017->seg017	50	UU_VGA_WndDrawSString	Clipped_Print	0.991266	0.296052	197	0.175732	0.977151	6	0.973799	227	229
seg010->seg010	13	LBX_GetEntryData	LBX_Get_Entry_Data	0.991304	0.077987	166	0.366412	0.864913	15	0.934783	230	228
seg022->seg022	30	UU_DBG_SelectDialog	UU_DBG_SelectDialog	0.991736	0.923405	75	0.704724	0.948407	5	0.979339	240	242
seg034->seg036	50	UU_GUI_CreateHelpLink	UU_GUI_CreateHelpLink	0.991870	0.163379	38	0.693548	0.937089	7	0.943089	122	123
seg017->seg017	36	Print_Display	Print_Display	0.991903	0.110692	222	0.136187	0.980357	6	0.975709	245	247
seg017->seg017	61	Print_Display_To_Bitmap	Print_Display_To_Bitmap	0.992278	0.087621	235	0.132841	0.964617	8	0.969112	257	259
seg034->seg036	60	UU_GUI_CreateTextDialog	Get_List_Field	0.992278	0.290085	187	0.343860	0.014844	29	0.888031	257	259
seg034->seg036	30	GUI_ProcessDirKey	Process_Direction_Key__STUB	0.992337	0.555818	134	0.539519	0.986714	3	0.988506	259	261
seg034->seg036	39	RP_GUI_CreateImageLabel	Add_Picture_Field	0.992366	0.529536	29	0.781955	0.954987	6	0.954198	130	131
seg027->seg029	1	FLIC_Draw_Frame	Draw_Frame_ASM	0.992958	0.750929	39	0.780899	0.993958	1	0.992958	141	142
seg016->seg016	4	Multi_Colored_Line	Multi_Colored_Line	0.992958	0.822150	51	0.670968	0.095847	9	0.936620	141	142
seg013->seg013	30	RP_EMM_LBX_Load2Hnd	UU_EMM_LBX_Load2Hnd	0.993056	0.489172	48	0.705521	0.789256	4	0.972222	143	144
seg014->seg014	10	VGA_WndDrawLineBase	Clipped_Line_Base	0.993289	0.091271	218	0.331288	0.942468	15	0.949664	296	298
seg013->seg013	13	EMM_LBX_Load_Record	EMM_LBX_RecLoader	0.993485	0.063421	247	0.262687	0.850388	17	0.944625	307	305
seg028->seg030	5	UU_LBX_IMG_HorzWarp	LBX_IMG_HorzWarp	0.993548	0.245571	23	0.869318	0.991138	2	0.987097	154	155
seg019->seg019	4	VGA_TextSetup	Mark_Paragraph	0.993789	0.134579	386	-0.084270	0.848401	18	0.944099	320	322
SOUND->SOUND	3	Play_Sound	Play_Sound	0.994269	0.731501	254	0.341969	0.980608	4	0.988539	347	349
seg034->seg036	32	Setup_Input_Box_Popup	Setup_Input_Box_Popup	0.994413	0.623400	232	0.439614	0.877942	14	0.960894	356	358
seg013->seg013	1	EMM_Startup	EMM_Startup	0.994444	0.336568	68	0.663366	0.977636	2	0.988889	179	180
seg008->seg008	19	Allocation_Error	Allocation_Error	0.994536	0.065177	48	0.757576	0.975346	3	0.983607	182	183
seg010->seg010	15	Error_Handler	Error_Handler	0.994536	0.412161	101	0.502463	0.933957	7	0.961749	182	183
seg034->seg036	73	Push_Field_Down	Push_Field_Down	0.994709	0.131591	61	0.705314	0.994652	1	0.994709	188	189
seg034->seg036	31	Input_Box_Popup	Input_Box_Popup	0.994737	0.486867	256	0.411494	0.950760	7	0.981579	378	380
seg013->seg013	7	UU_EMM_LoadLBX_Fail	UU_EMM_LoadLBX_Fail	0.994949	0.862299	19	0.916300	0.994503	1	0.994949	197	198
seg034->seg036	37	UU_GUI_CreateDialogLine	Add_String_List_Field	0.995098	0.555341	224	-0.092683	0.883850	14	0.931373	203	204
seg024->seg024	2	DBG_ScreenDump	Screen_Flic_Capture	0.995134	0.029752	408	0.042254	0.962418	5	0.987835	409	411
seg034->seg036	62	GUI_MoveDlgHighlight	GUI_MoveDlgHighlight__STUB	0.995192	0.680314	432	0.109278	0.984061	3	0.992788	414	416
seg021->seg021	6	VGA_ShadeColorMatch	Create_Remap_Palette	0.995536	0.144669	170	0.333333	0.957717	2	0.991071	223	224
seg025->seg025	3	VGA_FILEH_Draw_R	Remap_Draw_File_Animation_Frame_ASM	0.995763	0.695755	148	0.463768	0.844512	5	0.978814	236	235
seg034->seg036	54	Find_Bar_Position	Find_Bar_Position	0.996109	0.286782	177	0.344444	0.931748	8	0.968872	256	257
seg034->seg036	1	Interpret_Mouse_Input	Interpret_Mouse_Input	0.996310	0.681811	1562	-0.000641	0.957208	50	0.963100	1355	1350
seg029->seg031	1	VGA_DrawPartialImage	Clipped_Draw_Frame	0.996403	0.271471	120	0.639640	0.166735	1	0.996403	278	277
seg034->seg036	23	GUI_GetNextControl	GUI_GetNextControl	0.996454	0.986802	38	0.975515	0.998298	5	0.996454	1410	1405
SOUND->SOUND	2	Audio_Init__WIP	Audio_Init__WIP	0.996732	0.067927	194	0.717201	0.937843	32	0.947712	612	610
seg019->seg019	3	UU_GUI_CreateHelpLinks	UU_GUI_CreateHelpLinks	0.996885	0.367780	77	0.780000	0.806684	6	0.981308	320	321
seg030->seg032	1	VGA_DrawPartEmsImg	EMS_Clipped_Draw	0.997238	0.642380	71	0.842572	0.998692	1	0.997238	361	362
seg030->seg032	3	VGA_DrawPartEmsImg_R	EMS_Clipped_Remap_Draw	0.997253	0.834760	62	0.861915	0.996388	1	0.997253	363	364
ovr048->ovr050	1	Save_SAVE_GAM	Save_SAVE_GAM	0.997561	0.262132	167	0.626398	0.990944	2	0.995122	410	409
seg010->seg010	10	LBX_Load_Library	LBX_Load_Entry	0.997712	0.226027	108	0.791103	0.907692	7	0.983982	437	436
seg034->seg036	22	Interpret_Keyboard_Input	Interpret_Keyboard_Input	0.997758	0.253176	525	-0.045817	0.953020	60	0.865471	446	445
seg010->seg010	11	LBX_Load_Record	LBX_Load_Library_Data	0.998043	0.138343	319	0.473597	0.664909	37	0.927593	510	511
seg034->seg036	21	CRP_GUI_KeyInputOnly	RP_GUI_KeyInputOnly	0.998311	0.878785	143	0.786885	0.992786	2	0.996622	591	592
seg034->seg036	71	Draw_Fields	Draw_Fields	0.998507	0.531533	1033	0.506921	0.996251	5	0.997512	2007	2010
seg034->seg036	72	Draw_Field	Draw_Field	0.999395	0.715867	569	0.665884	0.999223	2	0.998789	1651	1652
